CUST_GENDER,AGE,CUST_MARITAL_STATUS,COUNTRY_NAME,CUST_INCOME_LEVEL,EDUCATION,OCCUPATION,HOUSEHOLD_SIZE,YRS_RESIDENCE,AFFINITY_CARD,BULK_PACK_DISKETTES,FLAT_PANEL_MONITOR,HOME_THEATER_PACKAGE,BOOKKEEPING_APPLICATION,PRINTER_SUPPLIES,Y_BOX_GAMES,OS_DOC_SET_KANJI,COMMENTS,sentiment_score,sentiment
0,41,1,1,3,14,13,2.0,4,0,1,1,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,0.3818,1
1,27,1,1,3,13,9,2.0,3,0,1,1,0,1,1,1,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,0.6249,1
0,20,1,1,3,9,8,2.0,2,0,1,0,0,1,1,1,0,"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?",0.0,0
1,45,2,1,1,13,12,3.0,5,1,0,0,1,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,0.6249,1
1,34,1,1,3,14,9,9.0,5,1,1,1,0,1,1,0,0,Why didn't you start a program like this before? Everyone else has been offering discounts like this for years.,0.6124,1
1,38,2,1,3,9,4,3.0,4,0,1,1,1,1,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,0.4337,1
1,28,2,1,3,12,9,3.0,3,0,1,1,0,1,1,1,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",0.7845,1
1,19,1,1,3,9,9,2.0,2,0,1,1,0,1,1,1,0,I shop your store a lot.  I love your weekly specials.,0.6369,1
1,52,2,4,3,13,4,3.0,5,0,1,1,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",0.3887,1
1,27,1,1,3,13,9,2.0,3,1,1,1,0,1,1,1,0,Could you send an Affinity Card to my mother in France?  Let me know and I'll send you here address.,0.0,0
1,30,1,1,3,13,9,2.0,5,0,1,0,0,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,0.3818,1
0,30,1,1,3,15,13,2.0,4,0,1,1,0,1,1,0,0,The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?,0.765,1
1,31,2,1,3,13,9,3.0,3,0,1,1,0,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",0.128,1
1,45,1,1,3,9,9,2.0,5,0,1,1,1,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,0.6249,1
0,36,1,1,3,7,4,9.0,2,0,1,1,1,0,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,0.6369,1
1,33,2,1,3,12,12,3.0,4,0,0,0,0,1,1,0,0,Don't send me any more promotions.  I get too much lousy junk mail already,-0.5423,-1
0,38,1,1,3,9,9,9.0,4,0,1,1,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,0.3818,1
0,46,5,4,3,12,9,9.0,5,0,1,1,1,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,0.3818,1
1,39,2,1,1,9,5,3.0,5,1,0,0,1,1,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,0.6249,1
1,61,2,1,3,9,4,3.0,6,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,0.6369,1
0,39,1,1,3,14,13,2.0,4,1,1,1,1,1,1,0,0,"If I forget my affinity card, can I still shop here and get the discount?",-0.2263,-1
1,22,3,1,3,9,9,2.0,2,0,1,1,0,1,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions.",-0.1779,-1
1,38,2,1,3,9,6,3.0,5,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",0.5719,1
0,18,1,1,3,9,9,1.0,1,0,1,1,0,1,1,1,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,0.4404,1
1,40,2,1,3,15,13,3.0,4,1,1,1,1,1,1,0,0,"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?",0.0,0
1,19,1,1,3,12,8,1.0,1,0,1,1,0,1,1,1,0,I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?,0.0,0
1,52,4,1,3,9,7,2.0,5,0,1,1,1,1,1,0,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere.",-0.4939,-1
1,22,1,1,3,12,3,1.0,2,0,1,1,0,1,1,1,0,Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything.,0.7964,1
1,34,2,1,3,13,13,3.0,3,1,1,0,0,1,1,0,0,Could you send an Affinity Card to my mother in France?  Let me know and I'll send you here address.,0.0,0
1,28,2,2,3,12,5,3.0,3,0,1,1,0,1,1,1,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,0.4337,1
1,37,5,1,2,9,6,2.0,4,0,0,0,1,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",0.7845,1
0,48,3,1,3,13,8,9.0,5,0,0,0,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,0.6369,1
1,38,2,2,2,10,4,3.0,4,0,0,0,1,1,1,0,0,I am not going to waste my time filling up this three page form. Lousy idea.,-0.2887,-1
0,33,1,1,3,13,13,2.0,4,1,1,1,0,1,1,0,0,Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?,0.3818,1
1,59,2,1,2,6,7,3.0,6,1,0,0,1,0,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,0.4337,1
1,31,2,1,2,12,12,3.0,3,0,0,0,0,1,1,0,0,I shop your store a lot.  I love your weekly specials.,0.6369,1
1,39,2,6,3,10,7,3.0,6,1,1,1,1,1,1,0,0,Can I apply my discount to a purchase I made last month? Excellent program.  Thanks,0.765,1
1,48,2,1,1,11,7,3.0,8,1,0,0,1,1,1,0,0,"A great idea.  Thank you!  Signed, happy in Texas",0.8908,1
0,59,1,3,1,14,13,2.0,6,1,0,0,1,1,1,0,0,I wanted to write you to let you know that I've purchased several items at your store recently and have been very satisfied with my purchases. Keep up  the good work.,0.7178,1
1,43,5,1,3,12,8,2.0,5,1,1,0,1,1,1,0,0,Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy.,0.4337,1
1,24,1,1,3,9,8,1.0,2,0,1,1,0,1,1,1,0,I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!,0.9272,1
0,43,1,1,3,12,12,2.0,1,0,1,1,1,1,1,0,0,I shop your store a lot.  I love your weekly specials.,0.6369,1
0,48,5,1,3,9,7,9.0,5,0,1,1,1,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety",0.7845,1
1,49,3,1,3,14,11,2.0,5,0,0,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",-0.7783,-1
0,26,1,1,2,12,8,2.0,3,0,0,0,0,1,1,1,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,-0.6546,-1
1,38,2,1,3,12,12,3.0,6,1,1,1,1,1,1,0,0,Does this discount work if you live in Australia?I've moved and I would like to purchase a few items as gifts but want the discount.  Have you ever considered offering free shipping?,0.7912,1
0,35,5,1,3,4,10,9.0,4,0,1,1,1,0,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything",0.5209,1
1,66,2,12,3,16,13,3.0,7,1,1,1,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,0.0,0
1,28,1,1,1,13,13,1.0,3,0,0,0,0,1,1,1,0,My brother uses the affinity card a lot. I think the competitor has better prices without it.,0.4404,1
1,52,2,1,2,9,3,3.0,1,0,0,0,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,-0.7935,-1
1,64,2,1,3,12,9,3.0,6,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list.",0.5719,1
1,41,2,3,1,4,7,3.0,4,0,0,0,1,0,1,0,0,Affinity card is great. I think it is a hassle to have to remember to bring it in every time though.,0.6249,1
1,47,2,1,3,9,9,3.0,6,1,1,1,1,1,1,0,0,Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?,0.0,0
1,38,2,1,2,14,12,3.0,7,1,0,0,1,1,1,0,0,"I don't like your new Affinity Card program.  Too little, too late.  I am very happy with your competitor's stores.",0.4372,1
1,46,2,1,2,15,13,3.0,7,1,0,0,1,1,1,0,0,I run a small convenience store. Any chance that I would be eligible for larger discounts if I purchase a large quantity of items (bulk purchase)?,0.25,1
1,34,2,1,3,12,4,3.0,3,0,1,1,0,1,1,0,0,I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card,-0.6546,-1
1,54,2,1,3,9,7,3.0,5,0,1,1,1,1,1,0,0,Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail.,-0.7935,-1
0,47,1,4,3,9,12,1.0,6,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry.",0.128,1
1,46,2,1,3,14,9,3.0,7,1,1,1,1,1,1,0,0,I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother.,0.6369,1
0,32,1,1,3,14,12,2.0,5,1,1,1,0,1,1,0,0,I love it. Will never shop at other shops again!,0.6696,1
1,38,5,1,3,13,12,2.0,6,0,1,1,1,1,1,0,0,No Comment,-0.296,-1
1,49,2,1,2,9,5,3.0,5,0,0,0,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with.",-0.7783,-1
1,21,1,1,2,12,3,1.0,2,0,0,0,0,1,1,1,0,I shop your store a lot.  I love your weekly specials.,0.6369,1
1,49,2,1,3,10,9,3.0,6,0,1,1,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by.",0.3887,1
